"Name";"n_Bewertungen";"Preiskat";"Adresse";"Stadtteil";"Kat1";"Kat2";"Kat3";"Kat4";"lat";"long"
"Chicken House";15;"€";"Eisenacher Str. 1";"Tempelhof";"Brathähnchen & Broiler";NA;NA;NA;52.5000137;13.3491876
"Pommes und Fritten";0;NA;"Am Borsigturm 2";"Reinickendorf";"Imbisswagen & Food Truck";"Brathähnchen & Broiler";NA;NA;52.5860043;13.2866924
"KFC";18;"€€";"Prenzlauer Promenade 87";"Weißensee";"Fast Food";"Chicken Wings";"Brathähnchen & Broiler";NA;52.5728312;13.4292436
"Varadero";49;"€";"Vorbergstr. 11";"Schöneberg";"Kubanisch";"Cocktailbar";NA;NA;52.4890496;13.3554823
"Zur Currywurst";6;"€";"Bahnhofstr. 39";"Köpenick";"Deutsch";"Fast Food";"Currywurst";NA;52.43009;13.3235
"Zum Sattmacher";1;NA;"Weißenhöher Str. 73-92";"Marzahn";"Currywurst";NA;NA;NA;52.5075595;13.5559992
"Curry Horschte";2;NA;"Hauptstr. 32";"Pankow";"Currywurst";NA;NA;NA;52.4849774;13.3534009
"Currypiraten";20;"€";"Rigaer Straße";"Friedrichshain";"Currywurst";NA;NA;NA;52.5166155;13.4637902
"Curry One";2;NA;"Oranienburger Str. 50a";"Mitte";"Currywurst";NA;NA;NA;52.5263326;13.3882508
"Manni’s";6;"€";"Hermannplatz";"Kreuzberg";"Currywurst";NA;NA;NA;52.4870183;13.4249841
"Currystand";4;"€€€";"Nonnendammallee";"Spandau";"Currywurst";NA;NA;NA;52.5378944;13.2522566
"Maximilian";3;"€";"Am Juliusturm 13";"Spandau";"Currywurst";"Fast Food";NA;NA;52.5377959;13.2290327
"Currywurst House";3;NA;"Leipziger Str. 12";"Mitte";"Currywurst";NA;NA;NA;52.5100858;13.3858823
"Kittchen Imbiss";1;NA;"Freienwalder Str. 15";"Hohenschönhausen";"Currywurst";NA;NA;NA;52.5577324;13.3921934
"Curry Fritz Bude";1;"€€";"Warschauerstr. 47";"Friedrichshain";"Currywurst";"Fast Food";NA;NA;52.5036687;13.4466841
"Curry Gourmet";2;"€";"Prerower Platz 4";"Hohenschönhausen";"Currywurst";NA;NA;NA;52.5650858;13.5075484
"Curry Rock";2;NA;"Schloßstr.7-15";"Steglitz";"Currywurst";NA;NA;NA;52.462742;13.3258971
"Curry Corner";1;NA;"Wilhelmsruher Damm 231";"Reinickendorf";"Currywurst";NA;NA;NA;52.5953827;13.3352082
"Marina’s Imbisseck";0;"€";"Fürstenwalder Allee";"Köpenick";"Currywurst";NA;NA;NA;52.4322918;13.7127894
"Mischau";6;"€€€€";"Wiesendamm 29 - 31";"Spandau";"Currywurst";NA;NA;NA;52.5278;13.24327
"Maximilian";0;"€";"Feuerbachstr. 32";"Steglitz";"Currywurst";"Fast Food";NA;NA;52.4636355;13.3321393
"Mariannes Imbiss 2.0";0;NA;"Mariendorfer Damm 94";"Tempelhof";"Currywurst";NA;NA;NA;52.4440949;13.3858054
"Malchower";0;NA;"Dorfstr. 11";"Hohenschönhausen";"Currywurst";NA;NA;NA;52.5776616;13.4835975
"Masoud Ghorbani";0;NA;"Forckenbeckstr. 9-13";"Wilmersdorf";"Nahrungsmittel & Getränke";"Deli";NA;NA;52.4809706;13.3051785
"Bernd August Feinkost- Fabrikation";0;NA;"Großbeerenstr. 46";"Tempelhof";"Deli";NA;NA;NA;52.4351102;13.3777062
"Diner 71";0;NA;"Saatwinkler Damm 71";"Charlottenburg";"Diner";NA;NA;NA;52.54336;13.32052
"Kleine Restaurants";0;NA;"Friedrichsstr.";"Mitte";"Diner";NA;NA;NA;52.5196979;13.388477
"Nordsee";13;"€€";"Schönhauser Allee 80";"Prenzlauer Berg";"Fischbrötchen";NA;NA;NA;52.5494582;13.4157815
"Nordsee";1;NA;"Grunerstr. 20";"Mitte";"Fischbrötchen";NA;NA;NA;52.519738;13.4161851
"Fish&Chips";15;"€";"Alexanderplatz";"Mitte";"Fish & Chips";NA;NA;NA;52.5219814;13.413306
"The KRUG Room";0;NA;"Behrenstr. 72";"Mitte";"Französisch";NA;NA;NA;52.5150099;13.3796666
"The Krug Room Berlin im uma Restaurant";1;"€€€€";"Behrenstr. 72";"Mitte";"Französisch";NA;NA;NA;52.5150099;13.3796666
"Stupeflix";0;NA;"Pestalozzistr. 57";"Charlottenburg";"Französisch";NA;NA;NA;52.5078333;13.2980622
"Madloba";3;NA;"Lietzenburger Str. 13/15";"Schöneberg";"Georgisch";"Lounge";NA;NA;52.4997003;13.3420473
"Epirus";10;"€€";"Ruschestr. 64-70";"Lichtenberg";"Griechisch";NA;NA;NA;52.5213376;13.4868469
"Taverna Elena";15;"€€";"Gierkezeile 23";"Charlottenburg";"Griechisch";NA;NA;NA;52.514961;13.3026721
"Villa Christina";48;"€€";"Mariendorfer Damm 131";"Tempelhof";"Griechisch";NA;NA;NA;52.4399831;13.3879091
"Imbiss curry&gyros";9;"€";"Grunewaldstr. 119";"Schöneberg";"Döner & Kebab";"Griechisch";NA;NA;52.4896171;13.3530295
"Chef Hot Dog";0;NA;"Flughafen Tegel";"Reinickendorf";"Halal";"Fast Food";NA;NA;52.5588327;13.2884374
"Harapeco";25;"€";"Neue Bahnhofstr. 3";"Friedrichshain";"Japanisch";NA;NA;NA;52.5050182;13.4695005
"KosherLife";0;NA;"Brunnenstr. 31a";"Mitte";"Jüdisch";NA;NA;NA;52.534835;13.39839
"Jüdische Gemeinde zu Berlin";1;NA;"Rykestr. 53";"Prenzlauer Berg";"Religion & Glaube";"Jüdisch";NA;NA;52.53503;13.4189699
"Kimchi Heim";6;NA;"Steglitzer Damm 72 - 74";"Steglitz";"Koreanisch";NA;NA;NA;52.44965;13.34844
"Hummus & Friends";58;"€€";"Oranienburger Str. 27";"Mitte";"Koscher";"Nahöstlich";NA;NA;52.5246504;13.3950866
"La Pica de Deli Mel";1;NA;"Freienwalder Str. 14A";"Hohenschönhausen";"Lateinamerikanisch";"Desserts";NA;NA;52.5421485;13.4989139
"Pantastico";0;NA;"Markthalle 9";"Kreuzberg";"Lateinamerikanisch";NA;NA;NA;52.5019874;13.432024
"Que Pasa";97;"€€";"Oranienburger Str. 27";"Mitte";"Mexikanisch";"Cocktailbar";NA;NA;52.5246504;13.3950866
"Maracas";6;"€€";"Neuköllner Str. 201 - 203";"Neukölln";"Mexikanisch";NA;NA;NA;52.430062;13.4780224
"Centenario";38;"€€";"Dietzgenstr. 119-121";"Pankow";"Mexikanisch";"Kneipe";NA;NA;52.59339;13.40263
"La Paz";32;"€€";"Florastr. 14";"Pankow";"Mexikanisch";"Cocktailbar";"Tapas";NA;52.5655759;13.4002724
"Mishba";10;"€";"Münzstr. 24";"Mitte";"Mexikanisch";NA;NA;NA;52.5250261;13.4068532
"Matador Restaurant Cocktailbar";22;"€€";"Neue Bahnhofstr. 33-34";"Friedrichshain";"Mexikanisch";NA;NA;NA;52.5051556;13.4690026
"Steak House";1;NA;"Marktplatz 9";"Pankow";"Steakhouse";"Mexikanisch";NA;NA;52.4382586;13.547737
"Guadalajara";5;"€";"Berliner Str. 48/49";"Wilmersdorf";"Mexikanisch";"Cocktailbar";NA;NA;52.4867495;13.3176015
"Lias Falafel";1;"€€";"Boxhagenerstr. 19-20";"Friedrichshain";"Nahöstlich";NA;NA;NA;52.5132303;13.4559314
"Haura";6;"€";"Sonntagstr. 4";"Friedrichshain";"Nahöstlich";NA;NA;NA;52.5051466;13.4678396
"Restaurant Mona Lisa";6;NA;"Oranienstr. 193";"Kreuzberg";"Nahöstlich";"Pizza";"Italienisch";NA;52.5000645;13.4225615
"Nano Falafel";24;"€";"Warschauer Str. 47";"Friedrichshain";"Falafel";"Nahöstlich";NA;NA;52.5036687;13.4466841
"Yildirim Döner";0;NA;"Kiehlufer 89";"Neukölln";"Nahöstlich";"Imbiss";NA;NA;52.4829972;13.4490069
"Döneria";0;NA;"Petersburger Str. 44";"Friedrichshain";"Fast Food";"Nahöstlich";NA;NA;52.5224207;13.4498871
"Restaurant DUKE";38;"€€€";"Nürnberger Str. 50 - 55";"Schöneberg";"Modern-Europäisch";NA;NA;NA;52.501714;13.338142
"New Orleans";1;NA;"Landsberger Allee 203";"Hohenschönhausen";"Modern-Europäisch";NA;NA;NA;52.5335715;13.477686
"Karabach";7;"€€";"Hermannstr. 198";"Neukölln";"Orientalisch";NA;NA;NA;52.4751;13.42767
"Gilgamesch";17;"€";"Greifswalderstr. 194";"Prenzlauer Berg";"Orientalisch";"Café";NA;NA;52.53499;13.43107
"Rio Falafel";3;"€";"Am Borsigturm 2";"Reinickendorf";"Orientalisch";"Burger";NA;NA;52.5860043;13.2866924
"Schnattertinchen";0;NA;"Hauptstr. 16";"Pankow";"Familien- & Elterncafé";NA;NA;NA;52.4873859;13.3570165
"Sonnenkind";1;NA;"Jägerstr. 4";"Köpenick";"Familien- & Elterncafé";NA;NA;NA;52.5133757;13.3857875
"Hirschstube";0;NA;"Breitscheidplatz";"Wilmersdorf";"Pop Up Restaurant";NA;NA;NA;52.5047297;13.3352316
"Dean & David";0;NA;"Mercedes-Platz 1";"Friedrichshain";"Salat";"Fast Food";NA;NA;52.5063143;13.4436316
"esswirtschaft";0;NA;"Stralauer Allee 7";"Friedrichshain";"Salat";"Coffee Shop";"Frühstück & Brunch";NA;52.4999047;13.4549848
"Pauls Deli";4;NA;"Lützowstr. 24";"Tiergarten";"Sandwich & Croque";"Bagels";"Wok";NA;52.5035318;13.3651404
"Rixbox";11;"€";"Richardstr. 2";"Neukölln";"Coffee Shop";"Sandwich & Croque";NA;NA;52.4786483;13.4384699
"Baltas";29;"€€";"Goltzstr. 17";"Schöneberg";"Sandwich & Croque";"Café";NA;NA;52.4934437;13.3539298
"Toast the City";0;NA;"Hardenbergstr. 2";"Wilmersdorf";"Sandwich & Croque";NA;NA;NA;52.51015;13.3238001
"Bagel";1;"€€€";"Friedrichstr. 8";"Mitte";"Sandwich & Croque";"Café";NA;NA;52.5011745;13.3914193
"scoom";24;"€€";"Alexanderplatz";"Mitte";"Sandwich & Croque";NA;NA;NA;52.5219814;13.413306
"Subway";3;"€";"Hermannplatz 10";"Kreuzberg";"Fast Food";"Sandwich & Croque";NA;NA;52.48727;13.42438
"Subway";0;NA;"Teltower Damm 43-45";"Zehlendorf";"Fast Food";"Sandwich & Croque";NA;NA;52.4299579;13.2598983
"Fisherman’s";46;"€€€";"Eisenhammerweg 20";"Reinickendorf";"Fischrestaurant";NA;NA;NA;52.5852085;13.276719
"Fisch-Eck Fisch und Feinkost Vogler";1;NA;"Gorkistr. 13-17";"Reinickendorf";"Fischrestaurant";"Fischgeschäft";NA;NA;52.5902;13.28594
"Rauch-Zeichen";0;NA;"Storkower Str. 99";"Prenzlauer Berg";"Fischgeschäft";"Fischrestaurant";"Imbisswagen & Food Truck";NA;52.5373551;13.4513091
"Restaurant Croatia";15;"€€";"Grünauer Str. 55";"Treptow";"Serbisch & Kroatisch";NA;NA;NA;52.44061;13.57068
"Sarajevo Inn Grunewald";6;"€€";"Eichkampstr. 152";"Charlottenburg";"Serbisch & Kroatisch";NA;NA;NA;52.4903742;13.2612416
"Dalmatino";7;NA;"Sonnenallee 321";"Neukölln";"Serbisch & Kroatisch";NA;NA;NA;52.46529;13.4723
"Restaurant Dubrovnik";8;"€€";"Potsdamer Str. 33";"Zehlendorf";"Serbisch & Kroatisch";NA;NA;NA;52.5072278;13.3704028
"Spalato";7;"€€";"Bismarckstr. 64b";"Steglitz";"Serbisch & Kroatisch";NA;NA;NA;52.5114;13.29894
"Attila";44;"€€";"Burgemeisterstr. 32-34";"Tempelhof";"Serbisch & Kroatisch";NA;NA;NA;52.4583766;13.3740446
"Mühlengarten";22;"€€";"Mühlenstr. 17";"Zehlendorf";"Serbisch & Kroatisch";NA;NA;NA;52.4369044;13.352541
"Restauration Kachelsetzer";2;NA;"Chemnitzer Str.198-200";"Hellersdorf";"Deutsch";"Suppe & Eintopf";NA;NA;52.4881435;13.5741655
"El Geco";7;"€€";"Grünauer Str. 46";"Treptow";"Spanisch";"Tapas";"Ferienunterkünfte";NA;52.44083;13.57001
"Trattoria Bar";0;NA;"Kastanienallee 29";"Pankow";"Spanisch";NA;NA;NA;52.5371914;13.4079956
"La Steakeria";16;"€€€";"Ahornstr. 22";"Steglitz";"Italienisch";"Steakhouse";"Weinbar";NA;52.4610188;13.3210966
"BLOCK HOUSE Am Adenauerplatz";111;"€€€";"Kurfürstendamm 161a";"Charlottenburg";"Steakhouse";NA;NA;NA;52.4996342;13.3066648
"Steakhaus Steglitz Zehlendorf";0;NA;"Ahornstr. 22";"Steglitz";"Steakhouse";NA;NA;NA;52.4610188;13.3210966
"Rstaurant Xyz";0;NA;"Gutschmidtstr. 14";"Britz";"Steakhouse";NA;NA;NA;52.4369061;13.4501916
"Ajo";12;"€€";"Grünauer Str. 6";"Treptow";"Steakhouse";"Burger";NA;NA;52.4437721;13.568961
"Maultaschen Manufaktur";3;NA;"Yorckstr. 45";"Kreuzberg";"Schwäbisch";NA;NA;NA;52.4936147;13.367544
"el Tinto";27;"€€";"Kirchstr. 1";"Köpenick";"Feinkost & Delikatessen";"Wein";"Bier & Spirituosen";"Tapas";52.43339;13.25763
"bar:food";2;"€€";"Paul-Lincke-Ufer 40/41";"Kreuzberg";"Weinbar";"Tapas";NA;NA;52.4961008;13.4222362
"Pho Jito";3;NA;"Goltzstr. 34";"Schöneberg";"Vietnamesisch";"Tapas";NA;NA;52.4940782;13.3535795
"Alois S";2;NA;"Stargarder Str. 29-30";"Prenzlauer Berg";"Kleine Gerichte";NA;NA;NA;52.5441524;13.4231479
"Brammibal’s Donuts";50;"€";"Maybachufer 8";"Reuterkiez";"Donuts";"Vegan";NA;NA;52.4947919;13.4228406
"Goodies";4;"€€";"Schloßstr. 78 - 82";"Steglitz";"Café";"Vegan";"Bioladen";NA;52.45551;13.32036
"goodies";4;NA;"Akazienstr. 28";"Schöneberg";"Café";"Vegan";"Frühstück & Brunch";NA;52.4867146;13.3550612
"HUADOU Soy Concept Store";0;NA;"Linienstr. 204/205";"Mitte";"Café";"Vegan";NA;NA;52.5288831;13.4022823
"Spreewaffel";2;NA;"Thulestr. 28 - 30";"Pankow";"Waffeln";NA;NA;NA;52.55488;13.41961
"Ost-West-Cafe";37;"€";"Brunnenstr. 53";"Wedding";"Café";"Frühstück & Brunch";NA;NA;52.5385799;13.3963733
"Dollinger";36;"€";"Stuttgarter Platz 21";"Charlottenburg";"Café";"Frühstück & Brunch";NA;NA;52.5050001;13.2992468
"Burger King";3;"€";"Alt-Mahlsdorf 23";"Hellersdorf";"Fast Food";"Burger";NA;NA;52.505477;13.6068912
"Burger King";20;"€";"Schönhauser Allee 79 - 80";"Prenzlauer Berg";"Fast Food";"Burger";NA;NA;52.5494582;13.4157815
"McDonald’s";15;"€";"Grunerstr. 20";"Mitte";"Burger";"Fast Food";NA;NA;52.519738;13.4161851
"Burger King";7;"€";"Saatwinkler Damm 61 - 64";"Charlottenburg";"Burger";"Fast Food";NA;NA;52.5473309;13.3105556
"Burger King";6;"€";"Ostpreußendamm 61";"Steglitz";"Fast Food";"Burger";NA;NA;52.4243994;13.3087014
"Break Food";4;"€";"Karl-Marx-Str. 17";"Neukölln";"Pizza";"Burger";"Italienisch";NA;52.4856225;13.4273639
"Kleinmein";9;"€";"Waldeyerstr. 9";"Friedrichshain";"Café";"Coworking";NA;NA;52.5150613;13.471456
"isla coffee";8;"€";"Hermannstr. 37";"Schillerkiez";"Café";NA;NA;NA;52.4801731;13.4250273
"Westberlin";95;"€";"Friedrichstr. 215";"Kreuzberg";"Café";NA;NA;NA;52.505673;13.3904664
"Mi Onda";9;"€";"Goltzstr. 34";"Schöneberg";"Café";NA;NA;NA;52.4940782;13.3535795
"Café Melon";9;"€";"Greifswalder Str. 228/228a";"Prenzlauer Berg";"Café";NA;NA;NA;52.5295564;13.4247518
"China Xberg Imbiss";4;"€";"Großbeerenstraße";"Kreuzberg";"Fast Food";"Asiatisch";NA;NA;52.4951747;13.3840455
"Imbiss Haase";8;"€";"U-Bahnhof Schloßstraße";"Steglitz";"Fast Food";NA;NA;NA;52.4611826;13.3248367
"Am Park";2;"€";"Ottostr. 9";"Tiergarten";"Fast Food";"Kneipe";NA;NA;52.5255845;13.3349221
"Döner am U-Bahnhof Leinestr.";9;"€";"Hermannstr. 79";"Neukölln";"Döner & Kebab";"Fast Food";NA;NA;52.4726361;13.4282934
"Samui";3;"€";"Eberswalder Str.";"Prenzlauer Berg";"Fast Food";"Asiatisch";NA;NA;52.541468;13.40813
"Zur Dönerpfanne";2;"€";"Bahnhofstr. 34";"Tempelhof";"Fast Food";NA;NA;NA;52.4582479;13.5771874
"Grillhaus Schöneweide";3;"€";"Brückenstr. 1";"Treptow";"Döner & Kebab";"Pizza";"Fast Food";NA;52.5111848;13.4167898
"Popular";1;"€";"Neue Schönhauserstr. 3-5";"Mitte";"Deutsch";"Mediterran";"Coffee Shop";NA;52.5246922;13.4047745
"Tennisclub im Osc Sportcafé";1;"€";"Vorarlberger Damm 37";"Schöneberg";"Deutsch";NA;NA;NA;52.4727132;13.3559066
"Enoteca Vecchio Mulino";11;"€";"Drakestr. 36";"Steglitz";"Italienisch";NA;NA;NA;52.4448646;13.2950182
"Romiosini";22;"€";"Berliner Str. 103";"Reinickendorf";"Italienisch";NA;NA;NA;52.590276;13.2836723
"Pasta Deli";24;"€";"Kurfürstendamm 73";"Charlottenburg";"Italienisch";NA;NA;NA;52.4999561;13.3051662
"La Famiglia";2;"€";"Gorkistr. 13-17";"Reinickendorf";"Italienisch";NA;NA;NA;52.5902;13.28594
"Döner Kebap King Chicken";12;"€";"Alt Rudow";"Neukölln";"Döner & Kebab";NA;NA;NA;52.4195739;13.4931495
"C&k Berliner Grillhaus";2;"€";"Berliner Str. 30";"Pankow";"Döner & Kebab";NA;NA;NA;52.486684;13.3234169
"Pizzeria";0;"€";"General-Pape-Str. 1";"Tempelhof";"Döner & Kebab";"Pizza";NA;NA;52.4761185;13.3653464
"Döner Express 24";3;"€";"Feuerbachstr. 32";"Steglitz";"Döner & Kebab";NA;NA;NA;52.4636355;13.3321393
"“Le Minh”";4;"€";"Vinetastr. 1";"Pankow";"Asiatisch";NA;NA;NA;52.5586931;13.4140316
"Street Kitchen";4;"€";"Schönhauser Allee 80";"Prenzlauer Berg";"Asiatisch";NA;NA;NA;52.5494582;13.4157815
"M&c Asia";5;"€";"Schloßstr. 15";"Steglitz";"Asiatisch";NA;NA;NA;52.4619126;13.3250933
"Asia Snack";1;"€";"Am Borsigturm 2";"Reinickendorf";"Asiatisch";NA;NA;NA;52.5860043;13.2866924
"China Pfanne";9;"€";"Wilmersdorfer Str. 107a";"Charlottenburg";"Asiatisch";NA;NA;NA;52.5048807;13.3074666
"Thai Nippon Bar";3;"€";"Am Borsigturm 2";"Reinickendorf";"Asiatisch";NA;NA;NA;52.5860043;13.2866924
"Asia Food";3;"€";"Tempelhofer Damm 227";"Tempelhof";"Asiatisch";NA;NA;NA;52.4553087;13.3878872
"V & L Asia & Sushi";5;"€";"Marchwitzastr. 21";"Marzahn";"Sushi";"Asiatisch";NA;NA;52.5221884;13.5449014
"Am Mittelmeer";15;"€";"Bahnhofstr. 35";"Tempelhof";"Pizza";NA;NA;NA;52.45459;13.5763
"City Pizza";3;"€";"Kantstr. 661";"Charlottenburg";"Pizza";NA;NA;NA;52.506182;13.3148746
"Pizzeria-Fantastico";2;"€";"Liebermannstr. 95 - 105";"Weißensee";"Pizza";NA;NA;NA;52.5598;13.4714988
"Rosa";4;"€";"Wühlischstraße";"Friedrichshain";"Pizza";NA;NA;NA;52.5084435;13.4623033
"vietnam today";2;"€";"Stargarder Str. 80-82";"Prenzlauer Berg";"Vietnamesisch";NA;NA;NA;52.547767;13.4144313
"Lula Am Markt";18;"€€";"Lauterstr. 14";"Schöneberg";"Frühstück & Brunch";"Pizza";"Café";NA;52.47226;13.3348
"Alt Berliner Biersalon";76;"€€";"Kurfürstendamm 225/226";"Charlottenburg";"Deutsch";"Frühstück & Brunch";"Bier Bar";NA;52.5032162;13.3301769
"McDonald’s";10;"€€";"Königstr. 12";"Zehlendorf";"Fast Food";"Burger";NA;NA;52.4461135;13.377719
